"Tendencias","Volumen de búsquedas","Inició","Finalizada","Desglose de tendencias","Vínculo para explorar"
"laliga","2 K+","30 de noviembre de 2025 a las 6:50:00 p.m. UTC-3","30 de noviembre de 2025 a las 8:20:00 p.m. UTC-3","laliga","https://trends.google.com/trends/explore?q=laliga&geo=CL&hl=es-419"
"manchester city","2 K+","29 de noviembre de 2025 a las 12:50:00 p.m. UTC-3","29 de noviembre de 2025 a las 3:00:00 p.m. UTC-3","manchester city,city vs,manchester city vs","https://trends.google.com/trends/explore?q=manchester%20city&geo=CL&hl=es-419"
"lucerito","2 K+","28 de noviembre de 2025 a las 11:50:00 p.m. UTC-3","29 de noviembre de 2025 a las 1:20:00 a.m. UTC-3","lucerito","https://trends.google.com/trends/explore?q=lucerito&geo=CL&hl=es-419"
"veronica castro","2 K+","28 de noviembre de 2025 a las 10:50:00 p.m. UTC-3","29 de noviembre de 2025 a las 12:10:00 a.m. UTC-3","veronica castro,verónica castro","https://trends.google.com/trends/explore?q=veronica%20castro&geo=CL&hl=es-419"
"emilia dides","2 K+","29 de noviembre de 2025 a las 11:10:00 p.m. UTC-3","30 de noviembre de 2025 a las 12:20:00 a.m. UTC-3","emilia dides","https://trends.google.com/trends/explore?q=emilia%20dides&geo=CL&hl=es-419"
"celtics - lakers","1 K+","5 de diciembre de 2025 a las 8:30:00 p.m. UTC-3",,"celtics - lakers","https://trends.google.com/trends/explore?q=celtics%20-%20lakers&geo=CL&hl=es-419"
"mayorista 10","1 K+","5 de diciembre de 2025 a las 7:30:00 p.m. UTC-3",,"mayorista 10,cadena de supermercados","https://trends.google.com/trends/explore?q=mayorista%2010&geo=CL&hl=es-419"
"warner bros","1 K+","5 de diciembre de 2025 a las 10:40:00 a.m. UTC-3",,"warner bros,a","https://trends.google.com/trends/explore?q=warner%20bros&geo=CL&hl=es-419"
"galatasaray - samsunspor","1 K+","5 de diciembre de 2025 a las 1:10:00 p.m. UTC-3","5 de diciembre de 2025 a las 7:40:00 p.m. UTC-3","galatasaray - samsunspor","https://trends.google.com/trends/explore?q=galatasaray%20-%20samsunspor&geo=CL&hl=es-419"
"monaco vs","1 K+","5 de diciembre de 2025 a las 3:40:00 p.m. UTC-3","5 de diciembre de 2025 a las 6:00:00 p.m. UTC-3","monaco vs,monaco fc","https://trends.google.com/trends/explore?q=monaco%20vs&geo=CL&hl=es-419"
"joven universitaria muere atropellada","1 K+","5 de diciembre de 2025 a las 8:10:00 a.m. UTC-3","5 de diciembre de 2025 a las 8:00:00 p.m. UTC-3","joven universitaria muere atropellada","https://trends.google.com/trends/explore?q=joven%20universitaria%20muere%20atropellada&geo=CL&hl=es-419"
"kevin hart","1 K+","5 de diciembre de 2025 a las 2:20:00 p.m. UTC-3","5 de diciembre de 2025 a las 4:30:00 p.m. UTC-3","kevin hart,heidi klum","https://trends.google.com/trends/explore?q=kevin%20hart&geo=CL&hl=es-419"
"entradas bad bunny","1 K+","5 de diciembre de 2025 a las 6:10:00 p.m. UTC-3","5 de diciembre de 2025 a las 7:30:00 p.m. UTC-3","entradas bad bunny,bad bunny chile","https://trends.google.com/trends/explore?q=entradas%20bad%20bunny&geo=CL&hl=es-419"
"discord wrapped","1 K+","4 de diciembre de 2025 a las 4:40:00 p.m. UTC-3","5 de diciembre de 2025 a las 5:40:00 a.m. UTC-3","discord wrapped,discord recap","https://trends.google.com/trends/explore?q=discord%20wrapped&geo=CL&hl=es-419"
"kick","1 K+","5 de diciembre de 2025 a las 5:50:00 a.m. UTC-3","5 de diciembre de 2025 a las 4:30:00 p.m. UTC-3","kick","https://trends.google.com/trends/explore?q=kick&geo=CL&hl=es-419"
"sant andreu - celta de vigo","1 K+","4 de diciembre de 2025 a las 5:20:00 p.m. UTC-3","5 de diciembre de 2025 a las 8:00:00 a.m. UTC-3","sant andreu - celta de vigo","https://trends.google.com/trends/explore?q=sant%20andreu%20-%20celta%20de%20vigo&geo=CL&hl=es-419"
"ipc","1 K+","5 de diciembre de 2025 a las 8:00:00 a.m. UTC-3","5 de diciembre de 2025 a las 12:00:00 p.m. UTC-3","ipc,ine","https://trends.google.com/trends/explore?q=ipc&geo=CL&hl=es-419"
"rocio marengo","1 K+","3 de diciembre de 2025 a las 5:40:00 p.m. UTC-3","4 de diciembre de 2025 a las 3:20:00 p.m. UTC-3","rocio marengo,eduardo fort","https://trends.google.com/trends/explore?q=rocio%20marengo&geo=CL&hl=es-419"
"cartagena - valencia c. f.","1 K+","4 de diciembre de 2025 a las 5:00:00 p.m. UTC-3","4 de diciembre de 2025 a las 10:40:00 p.m. UTC-3","cartagena - valencia c. f.","https://trends.google.com/trends/explore?q=cartagena%20-%20valencia%20c.%20f.&geo=CL&hl=es-419"
"cecilia bolocco","1 K+","4 de diciembre de 2025 a las 11:00:00 p.m. UTC-3","5 de diciembre de 2025 a las 12:20:00 p.m. UTC-3","cecilia bolocco","https://trends.google.com/trends/explore?q=cecilia%20bolocco&geo=CL&hl=es-419"
"real ávila - rayo vallecano","1 K+","4 de diciembre de 2025 a las 2:50:00 p.m. UTC-3","4 de diciembre de 2025 a las 7:40:00 p.m. UTC-3","real ávila - rayo vallecano","https://trends.google.com/trends/explore?q=real%20%C3%A1vila%20-%20rayo%20vallecano&geo=CL&hl=es-419"
"isabel allende","1 K+","4 de diciembre de 2025 a las 3:50:00 p.m. UTC-3","5 de diciembre de 2025 a las 12:40:00 a.m. UTC-3","isabel allende","https://trends.google.com/trends/explore?q=isabel%20allende&geo=CL&hl=es-419"
"porto","1 K+","4 de diciembre de 2025 a las 5:20:00 p.m. UTC-3","4 de diciembre de 2025 a las 8:50:00 p.m. UTC-3","porto,porto - guimarães","https://trends.google.com/trends/explore?q=porto&geo=CL&hl=es-419"
"martin garrix chile","1 K+","4 de diciembre de 2025 a las 1:00:00 p.m. UTC-3","4 de diciembre de 2025 a las 6:30:00 p.m. UTC-3","martin garrix chile,martin garrix chile 2026","https://trends.google.com/trends/explore?q=martin%20garrix%20chile&geo=CL&hl=es-419"
"rosalia","1 K+","4 de diciembre de 2025 a las 10:20:00 a.m. UTC-3","4 de diciembre de 2025 a las 10:50:00 p.m. UTC-3","rosalia","https://trends.google.com/trends/explore?q=rosalia&geo=CL&hl=es-419"
"warriors - thunder","1 K+","3 de diciembre de 2025 a las 12:40:00 a.m. UTC-3","3 de diciembre de 2025 a las 11:00:00 a.m. UTC-3","warriors - thunder","https://trends.google.com/trends/explore?q=warriors%20-%20thunder&geo=CL&hl=es-419"
"monterrey - toluca","1 K+","3 de diciembre de 2025 a las 11:50:00 p.m. UTC-3","4 de diciembre de 2025 a las 9:10:00 a.m. UTC-3","monterrey - toluca,monterrey fc","https://trends.google.com/trends/explore?q=monterrey%20-%20toluca&geo=CL&hl=es-419"
"krassnoff","1 K+","3 de diciembre de 2025 a las 10:00:00 a.m. UTC-3","4 de diciembre de 2025 a las 8:40:00 a.m. UTC-3","krassnoff,miguel krassnoff","https://trends.google.com/trends/explore?q=krassnoff&geo=CL&hl=es-419"
"antoniano - villarreal","1 K+","3 de diciembre de 2025 a las 5:00:00 p.m. UTC-3","3 de diciembre de 2025 a las 10:10:00 p.m. UTC-3","antoniano - villarreal","https://trends.google.com/trends/explore?q=antoniano%20-%20villarreal&geo=CL&hl=es-419"
